"Ship:","4174","","Survey:","2023001016","","Date:","18.11.2023"

"Station type","Time","Ref. no","Loc.St.No","Log","Latitude","Longitude","Depth","Heading","Speed","Water temp","Wind","Wind dir","Air temp","Air pressure","Humidity","Weather","Seastate","Clouds","Ice","Quantity","Code","Number","Serial no.","Wirelength","Min depth","Max depth","Opening","Spread","Comment"
"  -->","00:00:00","","","5909.617","6930.901485 N","01817.764372 E","","235.65","0.0","6.4","7.6","227","1.0","1013.1","82","","","","","","","","","","","","","",""
"  -->","00:01:00","","","5909.617","6930.901643 N","01817.764216 E","","236.02","0.0","6.4","8.1","210","1.1","1013.0","82","","","","","","","","","","","","","",""
"  -->","00:02:00","","","5909.617","6930.901701 N","01817.764018 E","","235.43","0.0","6.4","7.1","211","0.9","1013.0","80","","","","","","","","","","","","","",""
"  -->","00:03:00","","","5909.617","6930.901775 N","01817.763648 E","","235.24","0.0","6.4","5.8","206","1.0","1013.1","80","","","","","","","","","","","","","",""
"  -->","00:04:00","","","5909.617","6930.901687 N","01817.763805 E","","234.97","0.0","6.4","6.6","212","1.1","1013.1","79","","","","","","","","","","","","","",""
"  -->","00:05:00","","","5909.617","6930.901648 N","01817.763934 E","","235.01","0.0","6.4","6.0","200","1.1","1013.1","78","","","","","","","","","","","","","",""
"  -->","00:06:00","","","5909.617","6930.901808 N","01817.763448 E","","235.09","0.0","6.4","6.5","201","1.2","1013.1","80","","","","","","","","","","","","","",""
"  -->","00:07:00","","","5909.617","6930.901727 N","01817.763613 E","","234.05","0.1","6.4","8.2","255","1.1","1013.0","79","","","","","","","","","","","","","",""
"  -->","00:08:00","","","5909.617","6930.900841 N","01817.765365 E","","234.37","0.1","6.4","9.0","295","1.3","1013.0","80","","","","","","","","","","","","","",""
"  -->","00:09:00","","","5909.617","6930.900834 N","01817.765732 E","","235.19","0.1","6.4","8.1","268","1.5","1012.7","79","","","","","","","","","","","","","",""
"  -->","00:10:00","","","5909.617","6930.901125 N","01817.764984 E","","234.82","0.0","6.4","6.1","276","1.4","1012.7","76","","","","","","","","","","","","","",""
"  -->","00:11:00","","","5909.617","6930.901068 N","01817.765357 E","","234.92","0.0","6.4","5.6","302","1.5","1012.7","78","","","","","","","","","","","","","",""
"  -->","00:12:00","","","5909.617","6930.901273 N","01817.765282 E","","234.94","0.0","6.4","7.2","292","1.6","1012.7","76","","","","","","","","","","","","","",""
"  -->","00:13:00","","","5909.617","6930.901482 N","01817.764736 E","","235.10","0.0","6.4","7.2","276","1.5","1012.8","73","","","","","","","","","","","","","",""
"  -->","00:14:00","","","5909.617","6930.901565 N","01817.764366 E","","234.17","0.0","6.4","7.6","282","1.6","1012.8","71","","","","","","","","","","","","","",""
"  -->","00:15:00","","","5909.617","6930.901061 N","01817.765166 E","","234.80","0.0","6.4","7.1","289","1.6","1012.7","68","","","","","","","","","","","","","",""
"  -->","00:16:00","","","5909.617","6930.901781 N","01817.763987 E","","234.91","0.0","6.4","6.6","285","1.4","1012.7","70","","","","","","","","","","","","","",""
"  -->","00:17:00","","","5909.617","6930.901580 N","01817.764101 E","","234.96","0.0","6.4","6.2","286","1.4","1012.8","70","","","","","","","","","","","","","",""
"  -->","00:18:00","","","5909.617","6930.901562 N","01817.764184 E","","234.87","0.0","6.4","6.8","278","1.5","1012.8","69","","","","","","","","","","","","","",""
"  -->","00:19:00","","","5909.617","6930.901499 N","01817.764403 E","","234.59","0.0","6.4","9.3","282","1.6","1012.8","68","","","","","","","","","","","","","",""
"  -->","00:20:00","","","5909.617","6930.901325 N","01817.764378 E","","235.38","0.0","6.4","8.8","272","1.8","1012.8","68","","","","","","","","","","","","","",""
"  -->","00:21:00","","","5909.617","6930.901057 N","01817.765288 E","","234.82","0.0","6.4","12.6","280","1.9","1012.8","64","","","","","","","","","","","","","",""
"  -->","00:22:00","","","5909.617","6930.901308 N","01817.764230 E","","235.07","0.0","6.4","11.0","282","1.8","1012.7","63","","","","","","","","","","","","","",""
"  -->","00:23:00","","","5909.617","6930.901111 N","01817.764958 E","","236.30","0.0","6.4","12.9","296","1.6","1012.6","65","","","","","","","","","","","","","",""
"  -->","00:24:00","","","5909.617","6930.901293 N","01817.764131 E","","255.46","0.1","6.4","13.5","299","1.1","1012.6","66","","","","","","","","","","","","","",""
"  -->","00:25:00","","","5909.617","6930.901113 N","01817.763988 E","","270.30","0.0","6.4","14.8","306","0.8","1012.6","68","","","","","","","","","","","","","",""
"  -->","00:26:00","","","5909.617","6930.902210 N","01817.763251 E","","284.51","0.1","6.4","13.6","299","0.5","1012.6","71","","","","","","","","","","","","","",""
"  -->","00:27:00","","","5909.617","6930.903059 N","01817.765360 E","","300.54","0.1","6.4","14.2","295","0.3","1012.6","75","","","","","","","","","","","","","",""
