id;name;activityTypeId;activityTypeName;activityTypeCode;activityMainGroupId;activityMainGroupName;superstationNumber;localstationNumber;activityNumber;startTime;endTime;startLat;startLon;endLat;endLon;comment;speed;RPM;Experiment
ab6a4570-86c2-11ee-a46c-b797d21b3f0a;Annen stasjon (R);740dde20-9df7-4e84-9b44-9ba1f1237287;Annen stasjon (R);0;d5c84b74-c9b2-43db-aa36-48f1c3bcec77;Annet;6;3487;1776;2023-11-19T10:01:55.267Z;2023-11-19T10:06:55.267Z;69.95294586666667;20.38112515;69.95294586666667;20.38112515;Frigg: Støytest flat sjø 3 knop konstant RPM;3;Fixed;Dataquality
a83849f0-86c3-11ee-a46c-b797d21b3f0a;Annen stasjon (R);740dde20-9df7-4e84-9b44-9ba1f1237287;Annen stasjon (R);0;d5c84b74-c9b2-43db-aa36-48f1c3bcec77;Annet;6;3488;1777;2023-11-19T10:08:59.403Z;2023-11-19T10:13:59.403Z;69.94629991666666;20.388189966666665;69.94629991666666;20.388189966666665;Frigg: Støytest flat sjø 3 knop variabel RPM;3;Variable;Dataquality
718b9870-86c4-11ee-a46c-b797d21b3f0a;Annen stasjon (R);740dde20-9df7-4e84-9b44-9ba1f1237287;Annen stasjon (R);0;d5c84b74-c9b2-43db-aa36-48f1c3bcec77;Annet;6;3489;1778;2023-11-19T10:14:37.172Z;2023-11-19T10:19:37.172Z;69.94265035;20.392346083333333;69.94265035;20.392346083333333;Frigg: Støytest flat sjø 5 knop konstant RPM;4;Fixed;Dataquality
3666f360-86c5-11ee-a46c-b797d21b3f0a;Annen stasjon (R);740dde20-9df7-4e84-9b44-9ba1f1237287;Annen stasjon (R);0;d5c84b74-c9b2-43db-aa36-48f1c3bcec77;Annet;6;3490;1779;2023-11-19T10:20:07.443Z;2023-11-19T10:25:07.443Z;69.9379849;20.397907416666666;69.9379849;20.397907416666666;Frigg: Støytest flat sjø 5 knop variabel RPM;4;Variable;Dataquality
10904140-86c6-11ee-a46c-b797d21b3f0a;Annen stasjon (R);740dde20-9df7-4e84-9b44-9ba1f1237287;Annen stasjon (R);0;d5c84b74-c9b2-43db-aa36-48f1c3bcec77;Annet;6;3492;1781;2023-11-19T10:26:13.457Z;2023-11-19T10:31:13.457Z;69.93132115;20.406051666666666;69.93052425;20.407023333333335;Frigg: Støytest flat sjø 7 knop konstant RPM (ca 2000 RPM);5;Fixed;Dataquality
c2858180-86c6-11ee-a46c-b797d21b3f0a;Annen stasjon (R);740dde20-9df7-4e84-9b44-9ba1f1237287;Annen stasjon (R);0;d5c84b74-c9b2-43db-aa36-48f1c3bcec77;Annet;6;3493;1782;2023-11-19T10:31:12.020Z;2023-11-19T10:36:12.020Z;69.92091921666666;20.41709535;69.92091921666666;20.41709535;Frigg: Støytest flat sjø 7 knop variabel RPM;5;Variable;Dataquality
8f9514b0-86c7-11ee-a46c-b797d21b3f0a;Annen stasjon (R);740dde20-9df7-4e84-9b44-9ba1f1237287;Annen stasjon (R);0;d5c84b74-c9b2-43db-aa36-48f1c3bcec77;Annet;6;3494;1783;2023-11-19T10:36:56.055Z;2023-11-19T10:37:01.055Z;69.9084268;20.428314933333333;69.9084268;20.428314933333333;Frigg: Støytest flat sjø 9 knop konstant RPM (ca 3250 RPM);6;Fixed;Dataquality
8ea7d910-86c8-11ee-a46c-b797d21b3f0a;Annen stasjon (R);740dde20-9df7-4e84-9b44-9ba1f1237287;Annen stasjon (R);0;d5c84b74-c9b2-43db-aa36-48f1c3bcec77;Annet;6;3495;1784;2023-11-19T10:44:03.998Z;2023-11-19T10:49:03.998Z;69.89253373333334;20.431647033333334;69.89253373333334;20.431647033333334;Frigg: Støytest flat sjø 9 knop variabel RPM;6;Variable;Dataquality
061f17b0-86ce-11ee-a46c-b797d21b3f0a;Annen stasjon (R);740dde20-9df7-4e84-9b44-9ba1f1237287;Annen stasjon (R);0;d5c84b74-c9b2-43db-aa36-48f1c3bcec77;Annet;6;3498;1787;2023-11-19T11:23:11.901Z;2023-11-19T11:28:11.901Z;69.87237366666666;20.43955695;69.87237366666666;20.43955695;Frigg: Støytest (2) flat sjø 3 knop konstant RPM;2;Fixed;Dataquality
c72e0150-86ce-11ee-a46c-b797d21b3f0a;Annen stasjon (R);740dde20-9df7-4e84-9b44-9ba1f1237287;Annen stasjon (R);0;d5c84b74-c9b2-43db-aa36-48f1c3bcec77;Annet;6;3499;1788;2023-11-19T11:28:35.809Z;2023-11-19T11:33:35.809Z;69.87724278333333;20.4384706;69.87724278333333;20.4384706;Frigg: Støytest (2) flat sjø 3 knop variabel RPM;2;Variable;Dataquality
